St: 009619; Pangkalpinang/ , WMO
St: 009620; Ampenan/selaparang , WMO
St: 009621; Tanjungpandan/ , WMO
St: 009622; Bengkulu/ , WMO
St: 009623; Sumbawa Besar/ , WMO
St: 009624; Bima , WMO
St: 009625; Toli-toli/lalos , WMO
St: 009626; Ruteng/satartacik , WMO
St: 009627; Raden Intan/beranti, WMO
St: 009628; Maumere/wai Oti , WMO
St: 009629; Larantuka , WMO
St: 009630; Alor/mali , WMO
St: 009631; Belawan , WMO
St: 009632; Waingapu/mau Hau , WMO
St: 009633; Medan/polonia , WMO
St: 009634; Kupang/el Tari , WMO
St: 009635; Rote/baa , WMO
St: 009636; Sabu/tardamu , WMO
St: 009637; Galela/gamarmalamu , WMO
St: 009638; Ternate/babullah , WMO
St: 009639; Labuha/taliabu , WMO
St: 009640; Gorontalo/jalaluddi, WMO
St: 009641; Sorong/jefman , WMO
St: 009642; Longbawan/juvai , WMO
St: 009643; Tarakan/juwata , WMO
St: 009644; Tanjung Selor , WMO
St: 009645; Tanjung Redep/berau, WMO
St: 009646; Manokwari/rendani , WMO
St: 009647; Paloh , WMO
St: 009648; Nangapinoh , WMO
St: 009649; Sintang , WMO
St: 009650; Biak/mokmer , WMO
St: 009651; Putusibau , WMO
St: 009652; Serui/yendosa , WMO
St: 009653; Sarmi , WMO
St: 009654; Pontianak/supadio , WMO
St: 009655; Muaratewe/beringin , WMO
St: 009656; Sanana , WMO
St: 009657; Samarinda/temindung, WMO
St: 009658; Ketapang/rahadi , WMO
St: 009659; Fak-fak/torea , WMO
St: 009660; Balikpapan/sepingga, WMO
St: 009661; Pangkalan Bun/ , WMO
St: 009662; Palangkaraya/ , WMO
St: 009663; Nabire , WMO
St: 009664; Banjarmasin/ , WMO
St: 009665; Wamena/wamena , WMO
St: 009666; Jayapura/sentani , WMO
St: 009667; Kotabaru , WMO
St: 009668; Jayapura , WMO
St: 009669; Namlea , WMO
St: 009670; Palu/mutiara , WMO
St: 009671; 
St: 009672; Ambon/pattimura , WMO
St: 009673; Sibolga/pinangsori , WMO
St: 009674; 
St: 009675; Curug/budiarto , WMO
St: 009676; 
St: 009677; 
St: 009678; Geser , WMO
St: 009679; 
St: 009680; Gunung Sitoli/binak, WMO
St: 009681; Citeko/puncak , WMO
St: 009682; Kaimana/utarom , WMO
St: 009683; Enarotali , WMO
St: 009684; Bandung/husein , WMO
St: 009685; Neira , WMO
St: 009686; Jatiwangi , WMO
St: 009687; Kokonao/timuka , WMO
St: 009688; Tegal , WMO
St: 009689; Tahuna , WMO
St: 009690; Cilacap , WMO
St: 009691; Tual/dumatubun , WMO
St: 009692; Maritim Semarang , WMO
St: 009693; Semarang/ahmadyani , WMO
St: 009694; Luwuk/bubung , WMO
St: 009695; Batan , WMO
St: 009696; Tanah Merah/tanah , WMO
St: 009697; Lhokseumawe/ , WMO
St: 009698; Saumlaki , WMO
St: 009699; Tanjungpinang/kijan, WMO
St: 009700; Sangkapura , WMO
St: 009701; Surabaya/perak , WMO
St: 009702; 
St: 009703; Surabaya , WMO
St: 009704; Poso/kasiguncu , WMO
St: 009705; Kalianget(madura Is, WMO
St: 009706; Merauke/mopah , WMO
St: 009707; Banyuwangi , WMO
St: 009708; Satu Mare, WMO
St: 009709; Toplita, WMO
St: 009710; Ceahlau Toaca, WMO
St: 009711; Piatra Neamt, WMO
St: 009712; 
St: 009713; Negresti, WMO
St: 009714; Holod, WMO
St: 009715; Stana De Vale, WMO
St: 009716; Vladeasa-1800, WMO
St: 009717; Cluj-napoca, WMO
St: 009718; Sarmasu, WMO
St: 009719; Batos, WMO
St: 009720; Joseni, WMO
St: 009721; Chisineu Cris, WMO
St: 009722; Dumbravita De Codru, WMO
St: 009723; Baia-mare, WMO
St: 009724; Turda, WMO
St: 009725; Tg.mures, WMO
St: 009726; Bucin, WMO
St: 009727; Oc.sugatag, WMO
St: 009728; Bacau, WMO
St: 009729; Vaslui, WMO
St: 009730; Stei, WMO
St: 009731; Campeni, WMO
St: 009732; Baisoara, WMO
St: 009733; 
St: 009734; Odorheiul Secuiesc, WMO
St: 009735; Miercurea Ciuc, WMO
St: 009736; Siria, WMO
St: 009737; Gurahont, WMO
St: 009738; Rosia Montana, WMO
St: 009739; Dumbraveni, WMO
St: 009740; Targu Ocna, WMO
St: 009741; Barlad, WMO
St: 009742; Sannicolaul Mare, WMO
St: 009743; Botosani, WMO
St: 009744; Arad, WMO
St: 009745; Varadia De Mures, WMO
St: 009746; Tebea, WMO
St: 009747; Alba Iulia, WMO
St: 009748; Blaj, WMO
St: 009749; Baraolt, WMO
St: 009750; Tg.secuiesc, WMO
St: 009751; Adjud, WMO
St: 009752; Suceava, WMO
St: 009753; Deva, WMO
St: 009754; Sebes-alba, WMO
St: 009755; Fagaras, WMO
St: 009756; Sfantu Gheorghe Cova, WMO
St: 009757; Jimbolia, WMO
St: 009758; Timisoara, WMO
St: 009759; Stefanesti Stinca, WMO
St: 009760; Paltinis Sibiu, WMO
St: 009761; Sibiu, WMO
St: 009762; Intorsura Buzaului, WMO
St: 009763; Lacauti, WMO
St: 009764; Focsani, WMO
St: 009765; Tecuci, WMO
St: 009766; Lugoj, WMO
St: 009767; Boita, WMO
